ATTOM_ID,Address,YrBuilt,Size,AVM_Value,Baxer_Appraised,biased
241918,"1423 W MARIPOSA DR, SAN ANTONIO, TX 78201",1961,1027,203073,148000,1
241918,"1423 W MARIPOSA DR, SAN ANTONIO, TX 78201",1961,1027,203073,148000,1
287293,"1130 ALAMETOS, SAN ANTONIO, TX 78201",1953,806,101147,103770,1
307701,"1714 N HAMILTON ST, SAN ANTONIO, TX 78201",1932,1216,212736,174250,1
307751,"1810 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1932,1739,393269,343080,1
307758,"1534 LEE HALL, SAN ANTONIO, TX 78201",1929,960,216250,135000,0
307781,"1419 HERMINE BLVD, SAN ANTONIO, TX 78201",1960,1272,218310,194000,1
307832,"1919 SANTA BARBARA, SAN ANTONIO, TX 78201",1940,1802,221250,320320,0
307837,"2101 W GRAMERCY PL, SAN ANTONIO, TX 78201",1936,2296,398500,559000,0
307842,"902 W AGARITA AVE, SAN ANTONIO, TX 78201",1935,2132,387615,347870,1
307878,"2123 W HERMOSA DR, SAN ANTONIO, TX 78201",1946,768,200250,74362,0
307894,"311 NORTH DR, SAN ANTONIO, TX 78201",1940,1411,332215,258500,1
307971,"134 FURR DR, SAN ANTONIO, TX 78201",1931,1430,343344,267870,0
307977,"1533 EL MONTE BLVD, SAN ANTONIO, TX 78201",1929,2032,367736,242718,0
308067,"1828 SACRAMENTO, SAN ANTONIO, TX 78201",1930,1508,237556,224000,1
308103,"2127 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1940,2058,346616,290000,1
308171,"207 RENNER DR, SAN ANTONIO, TX 78201",1955,1243,238796,200048,1
337640,"1443 W ROSEWOOD AVE, SAN ANTONIO, TX 78201",1930,1110,216568,203510,1
369564,"2218 SANTA ANNA, SAN ANTONIO, TX 78201",1939,1228,183215,184450,1
369587,"230 CRESTVIEW DR, BALCONES HEIGHTS, TX 78201",1963,1090,202271,165109,1
373271,"2064 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1940,1253,340496,258544,0
381268,"807 LA MANDA BLVD, SAN ANTONIO, TX 78201",1949,1212,174895,165044,1
382328,"1421 W KINGS HWY, SAN ANTONIO, TX 78201",1976,1003,192600,156368,1
385887,"1547 W FRENCH PL, SAN ANTONIO, TX 78201",1935,1340,265733,270000,1
385915,"1243 THORAIN BLVD, SAN ANTONIO, TX 78201",1953,804,190250,134000,1
385956,"1030 EDISON DR, SAN ANTONIO, TX 78201",1949,1295,203880,142206,1
386032,"1609 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1924,1940,350912,358670,1
386053,"819 LOVERA BLVD, SAN ANTONIO, TX 78201",1952,952,186036,124759,1
386076,"1118 W HERMOSA DR, SAN ANTONIO, TX 78201",1947,896,177256,110352,1
386083,"1206 THORAIN BLVD, SAN ANTONIO, TX 78201",1968,1683,247546,173224,1
386121,"1535 THORAIN BLVD, SAN ANTONIO, TX 78201",1952,816,198943,116098,0
434207,"157 GREENLAWN DR, SAN ANTONIO, TX 78201",1953,1398,230758,228500,1
462393,"1123 THORAIN BLVD, SAN ANTONIO, TX 78201",1950,1282,201106,197470,1
502481,"1715 SANTA ANNA, SAN ANTONIO, TX 78201",1929,1016,187100,189450,1
508750,"1914 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1938,1824,302404,194872,0
510005,"1103 W ELSMERE PL, SAN ANTONIO, TX 78201",1929,812,261140,103324,0
512032,"221 PRINCETON AVE, SAN ANTONIO, TX 78201",1930,1122,212721,155882,1
512050,"1303 W WILDWOOD DR, SAN ANTONIO, TX 78201",1924,868,182821,108794,1
512091,"1723 HERMINE BLVD, SAN ANTONIO, TX 78201",2004,1713,309250,240000,1
512196,"1038 KENTUCKY AVE, SAN ANTONIO, TX 78201",1948,896,176179,166280,1
512256,"202 VEREDA, SAN ANTONIO, TX 78201",1949,660,139433,86325,1
512287,"1529 SAN ANGELO, SAN ANTONIO, TX 78201",1947,864,172723,140433,1
528046,"935 W WILDWOOD DR, SAN ANTONIO, TX 78201",1947,928,178384,155300,1
545824,"2407 W HERMOSA DR, SAN ANTONIO, TX 78201",1926,1994,299750,202616,0
548327,"2119 SAN FRANCISCO, SAN ANTONIO, TX 78201",1946,1382,257817,235790,1
556046,"1611 LA MANDA BLVD, SAN ANTONIO, TX 78201",1949,1743,136313,151660,1
588224,"1510 FULTON AVE, SAN ANTONIO, TX 78201",1932,1196,290365,247614,1
601277,"1618 W ROSEWOOD AVE, SAN ANTONIO, TX 78201",1926,1120,210049,173030,1
606962,"426 UNIVERSITY AVE, SAN ANTONIO, TX 78201",1920,1201,188425,166615,1
607089,"1438 CLOWER, SAN ANTONIO, TX 78201",1946,1283,234497,132469,0
607100,"2109 LEE HALL, SAN ANTONIO, TX 78201",1946,1012,201774,122507,0
607112,"1222 ALAMETOS, SAN ANTONIO, TX 78201",1947,1112,172818,143748,1
609591,"2230 RAMONA, SAN ANTONIO, TX 78201",1950,1066,200412,173000,1
625571,"2239 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1940,1512,311619,260720,1
635281,"245 DONALDSON AVE, SAN ANTONIO, TX 78201",1940,1792,385944,304000,0
641152,"2002 LA MANDA BLVD, SAN ANTONIO, TX 78201",1953,1376,213739,221480,1
708164,"345 BABCOCK RD, SAN ANTONIO, TX 78201",1950,2033,306250,348860,1
708521,"328 UNIVERSITY AVE, SAN ANTONIO, TX 78201",1925,1236,235298,131457,0
717535,"2019 W KINGS HWY, SAN ANTONIO, TX 78201",1928,2506,488411,451000,1
717539,"1839 W ASHBY PL, SAN ANTONIO, TX 78201",1930,754,197710,181780,1
739211,"1502 W MULBERRY AVE, SAN ANTONIO, TX 78201",1929,3734,662250,655917,1
739552,"1527 W WILDWOOD DR, SAN ANTONIO, TX 78201",1926,964,225926,159840,1
739566,"927 FULTON AVE, SAN ANTONIO, TX 78201",1926,1526,324546,253902,1
739570,"1816 LEE HALL, SAN ANTONIO, TX 78201",1926,1496,193711,180000,1
753045,"1609 W FRENCH PL, SAN ANTONIO, TX 78201",1917,1956,329000,311760,1
753708,"936 W SUMMIT AVE, SAN ANTONIO, TX 78201",1920,1448,348833,315000,1
761154,"2019 W HERMOSA DR, SAN ANTONIO, TX 78201",1949,1656,247199,156190,0
765849,"1425 MARDELL ST, SAN ANTONIO, TX 78201",1946,964,163760,165300,1
765850,"1438 W CRAIG PL, SAN ANTONIO, TX 78201",1925,1252,239057,166902,1
765858,"1527 HERMINE BLVD, SAN ANTONIO, TX 78201",1948,748,200750,100370,0
765871,"1701 EL MONTE BLVD, SAN ANTONIO, TX 78201",1949,1150,216512,177240,1
765879,"1847 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1925,1380,298113,239092,1
765896,"2131 W GRAMERCY PL, SAN ANTONIO, TX 78201",1947,3510,759312,597641,0
765905,"2227 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1939,1394,164769,181000,1
766191,"1106 W LYNWOOD AVE, SAN ANTONIO, TX 78201",1915,1199,200483,208850,1
766217,"125 JEFFREY, SAN ANTONIO, TX 78201",1934,1236,242800,185180,1
766225,"1306 KENTUCKY AVE, SAN ANTONIO, TX 78201",1950,1440,236960,195028,1
805079,"901 W MULBERRY AVE, SAN ANTONIO, TX 78201",1923,2346,318038,211750,0
805080,"909 W MULBERRY AVE, SAN ANTONIO, TX 78201",1932,3082,351782,265000,0
805081,"906 W MULBERRY AVE, SAN ANTONIO, TX 78201",1910,1930,323839,263000,1
805084,"914 W MULBERRY AVE, SAN ANTONIO, TX 78201",1910,2184,428159,264000,0
805085,"918 W MULBERRY AVE, SAN ANTONIO, TX 78201",1910,3267,526633,443295,0
805430,"720 TEXAS AVE, SAN ANTONIO, TX 78201",1940,1436,244907,198025,1
805431,"1626 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1930,1142,307213,264784,1
805432,"1606 W WOODLAWN AVE, SAN ANTONIO, TX 78201",1920,2402,508477,437443,1
805433,"1638 W CRAIG PL, SAN ANTONIO, TX 78201",1940,1899,317048,285100,1
805434,"1605 W FRENCH PL, SAN ANTONIO, TX 78201",1927,1800,200995,176900,1
805436,"1552 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1940,1702,290278,286000,1
805437,"1650 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1930,1939,367992,323363,1
805438,"1426 W CRAIG PL, SAN ANTONIO, TX 78201",1927,1428,257490,210520,1
805439,"1722 W ASHBY PL, SAN ANTONIO, TX 78201",1930,669,107962,75611,1
805440,"807 CINCINNATI AVE, SAN ANTONIO, TX 78201",1900,1387,227103,201056,1
805441,"1544 W MISTLETOE AVE, SAN ANTONIO, TX 78201",1940,1205,290278,296450,1
805442,"2414 N NAVIDAD ST, SAN ANTONIO, TX 78201",1922,1355,231010,159720,1
805443,"1547 W CRAIG PL, SAN ANTONIO, TX 78201",1920,976,196348,136690,1
805444,"1607 W FRENCH PL, SAN ANTONIO, TX 78201",1919,1878,218964,149452,1
805445,"1611 W FRENCH PL, SAN ANTONIO, TX 78201",1920,1170,262250,110000,0
805446,"1613 W FRENCH PL, SAN ANTONIO, TX 78201",2009,1180,235782,246470,1
805447,"1615 W FRENCH PL, SAN ANTONIO, TX 78201",1920,1056,198223,145781,1
805448,"1601 W FRENCH PL, SAN ANTONIO, TX 78201",1930,1008,131350,107787,1
805449,"1617 W FRENCH PL, SAN ANTONIO, TX 78201",1919,1056,227672,187950,1
805450,"1619 W FRENCH PL, SAN ANTONIO, TX 78201",1930,1056,237379,169773,1
805451,"1621 W FRENCH PL, SAN ANTONIO, TX 78201",1940,1764,308917,245000,1
805452,"1608 W FRENCH PL, SAN ANTONIO, TX 78201",1988,1949,251720,254620,1
813813,"119 VENICE, SAN ANTONIO, TX 78201",1949,732,194940,147740,1
813814,"158 VENICE, SAN ANTONIO, TX 78201",1950,944,201937,166558,1
813825,"911 LA MANDA BLVD, SAN ANTONIO, TX 78201",1949,732,157526,176670,1
814875,"1028 W SUMMIT AVE, SAN ANTONIO, TX 78201",1922,2270,471992,339572,0
814876,"1029 W SUMMIT AVE, SAN ANTONIO, TX 78201",1925,1436,328945,219615,0
814877,"1146 FULTON AVE, SAN ANTONIO, TX 78201",1947,952,274265,231000,1
814878,"1032 W KINGS HWY, SAN ANTONIO, TX 78201",1920,1368,274855,236000,1
814880,"1019 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1915,1453,219360,216890,1
814881,"1011 W MAGNOLIA AVE, SAN ANTONIO, TX 78201",1925,2626,399259,329423,1
